Département,Budget,Type nomenclature,Exercice,Type fichier,Date vote,Dépense/Recette,Investissement/Fonctionnement,Réel/Ordre id/Ordre diff,Chapitre,Sous-chapitre,Opération,Article,Rubrique fonctionnelle,Libellé,Code devise,Montant,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C23,,,A231351,R52     ,Immobilisations corporelles en cours - Bâtiments publics,E,144490.04,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C23,,,A231351,R51     ,Immobilisations corporelles en cours - Bâtiments publics,E,483176,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C23,,,A231351,R50     ,Immobilisations corporelles en cours - Bâtiments publics,E,100000.25,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C23,,,A231351,R315    ,Immobilisations corporelles en cours - Bâtiments publics,E,297505.37,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C23,,,A231351,R313    ,Immobilisations corporelles en cours - Bâtiments publics,E,26200,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C23,,,A231351,R221    ,Immobilisations corporelles en cours - Bâtiments publics,E,7185552.62,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C23,,,A231351,R20     ,Immobilisations corporelles en cours - Bâtiments publics,E,1106961.92,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C23,,,A231351,R11     ,Immobilisations corporelles en cours - Bâtiments publics,E,10000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C23,,,A231351,R0202   ,Immobilisations corporelles en cours - Bâtiments publics,E,11706267.07,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C23,,,A231318,R621    ,Immobilisations corporelles en cours - autres bâtiments publics,E,3849571.19,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C23,,,A231318,R315    ,Immobilisations corporelles en cours - autres bâtiments publics,E,50000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C23,,,A231318,R312    ,Immobilisations corporelles en cours - autres bâtiments publics,E,167946.37,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C23,,,A231313,R52     ,Immobilisations corporelles en cours - bâtiments sociaux et médico-sociaux,E,28829.52,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C23,,,A231313,R51     ,Immobilisations corporelles en cours - bâtiments sociaux et médico-sociaux,E,250000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C23,,,A231313,R50     ,Immobilisations corporelles en cours - bâtiments sociaux et médico-sociaux,E,3779627.9,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C23,,,A231312,R221    ,Immobilisations corporelles en cours - bâtiments scolaires,E,39250955.6,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C23,,,A231311,R0202   ,Immobilisations corporelles en cours - bâtiments administratifs,E,99265.06,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C23,,,A2312,R738    ,Agencements et aménagements de terrains,E,6486099.7,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C23,,,A2312,R64     ,Agencements et aménagements de terrains,E,35000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C23,,,A2312,R61     ,Agencements et aménagements de terrains,E,25083.05,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C21,,,A2188,R50     ,Autres,E,36134.75,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C21,,,A2188,R41     ,Autres,E,10000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C21,,,A2188,R32     ,Autres,E,15000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C21,,,A2188,R315    ,Autres,E,146506.71,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C21,,,A2188,R311    ,Autres,E,30000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C21,,,A2188,R0202   ,Autres,E,249000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C21,,,A2185,R0202   ,Matériel de téléphonie,E,120000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C21,,,A21848,R621    ,Autre matériel de bureau et mobilier,E,50000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C21,,,A21848,R52     ,Autre matériel de bureau et mobilier,E,122800,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C21,,,A21848,R315    ,Autre matériel de bureau et mobilier,E,43000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C21,,,A21848,R021    ,Autre matériel de bureau et mobilier,E,7000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C21,,,A21848,R0202   ,Autre matériel de bureau et mobilier,E,728000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C21,,,A21841 ,R221    ,Matériel de bureau et mobilier scolaire,E,1345715.52,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C21,,,A21838,R315    ,Autre matériel informatique,E,6000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C21,,,A21838,R221    ,Autre matériel informatique,E,659818,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C21,,,A21838,R021    ,Autre matériel informatique,E,12000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C21,,,A21838,R0202   ,Autre matériel informatique,E,1464640,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C21,,,A21831 ,R221    ,Matériel informatique scolaire,E,2003180,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C21,,,A2182,R738    ,Matériel de transports,E,35000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C21,,,A2182,R64     ,Matériel de transports,E,1000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C21,,,A2182,R621    ,Matériel de transports,E,789065,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C21,,,A2182,R0202   ,Matériel de transports,E,350000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C21,,,A2181,R0202   ,Installations générales. agencements et aménagements divers,E,1343349,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C21,,,A216,R315    ,Collections et oeuvres d art,E,20000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
C001,B00,M52,2016,BP,18/12/2015,D,I,OR,C21,,,A2157 ,R738    ,Matériel et outillage technique,E,12001.82,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
